EditID,File,Owner,Phase,Deadline_IST,Priority,Estimated_Minutes,Dependencies,Acceptance_Criteria,Status
EDIT-001,docs/BRIEF.md,kyklos-orchestrator,2,2025-10-30 12:00,CRITICAL,15,ADR-0007,"Glossary has windows[].replicas, defaultReplicas, effectiveReplicas; no activeReplicas/inactiveReplicas",Pending
EDIT-002,docs/BRIEF.md,kyklos-orchestrator,2,2025-10-30 12:00,CRITICAL,10,None,Version requirements section exists after line 3,Pending
EDIT-003-A,docs/BRIEF.md,kyklos-orchestrator,2,2025-10-30 12:00,CRITICAL,5,ADR-0005,"Holiday non-goal line modified (if holidays IN v0.1)",Pending
EDIT-003-B,docs/BRIEF.md,kyklos-orchestrator,2,2025-10-30 12:00,CRITICAL,0,ADR-0005,"No change needed (if holidays NOT in v0.1)",Pending
EDIT-004,docs/api/CRD-SPEC.md,api-crd-designer,3,2025-10-30 13:00,CRITICAL,10,"ADR-0006, Phase-2","Validation rules updated: CRD enum, cross-namespace allowed",Pending
EDIT-005,docs/api/CRD-SPEC.md,api-crd-designer,3,2025-10-30 13:00,CRITICAL,10,"ADR-0004, Phase-2","gracePeriodExpiry field documented in status section",Pending
EDIT-006-A,docs/api/CRD-SPEC.md,api-crd-designer,3,2025-10-30 13:00,CRITICAL,5,ADR-0005,"Holiday mode default clarified (if holidays IN v0.1)",Pending
EDIT-006-B,docs/api/CRD-SPEC.md,api-crd-designer,3,2025-10-30 13:00,CRITICAL,10,ADR-0005,"Holiday section deleted lines 66-80 (if holidays NOT in v0.1)",Pending
EDIT-007,docs/design/RECONCILE.md,controller-reconcile-designer,4,2025-10-30 13:00,CRITICAL,10,Phase-3,All grace field references use spec.gracePeriodSeconds,Pending
EDIT-008,docs/design/RECONCILE.md,controller-reconcile-designer,4,2025-10-30 13:00,CRITICAL,15,None,"Pause semantics expanded: status updates, early return, event emission",Pending
EDIT-009-A,docs/design/RECONCILE.md,controller-reconcile-designer,4,2025-10-30 13:00,CRITICAL,0,ADR-0005,"No change to Step 3 (if holidays IN v0.1)",Pending
EDIT-009-B,docs/design/RECONCILE.md,controller-reconcile-designer,4,2025-10-30 13:00,CRITICAL,20,"ADR-0005, Phase-3","Step 3 deleted, steps renumbered, preconditions updated (if holidays NOT in v0.1)",Pending
EDIT-010,test/fixtures/dst-spring-2025.yaml,testing-strategy-designer,5,2025-10-30 13:00,CRITICAL,10,None,"File created with 2025-03-09 date, America/New_York timezone",Pending
